"분류","경로","한줄 요약","상세 설명 (무엇을·왜·어떻게)","주요 export · 함수 (각 설명)","연결 (쓰는 것 / 쓰이는 곳)","읽기 팁 · 주의"
"■개요","-","MARS 프론트 전체","MARS = 해병대 RAG 챗봇 웹 프론트. React19+TS+Vite. 3대 축 = ①인증(JWT 자동갱신) ②서버통신(Axios REST + fetch SSE) ③채팅 스트리밍(Zustand). 목록류는 React Query, 인증은 Context. 백엔드는 별도 서버(VITE_SERVER_API_URL).","-","-","코드 읽는 순서: main→App→axios→AuthContext→services/chat→chatStore→pages"
"■개요","-","데이터 흐름 요약","①로그인→access(sessionStorage)/refresh(localStorage) 저장 ②모든 REST는 backendApi(Axios)가 토큰 부착·401시 refresh·재시도 ③채팅 답변은 fetch SSE로 토큰단위 스트리밍→chatStore가 60ms 모아 in-place 갱신 ④세션/유저/문서 목록은 React Query 캐시·무한스크롤","-","-","'빈 응답=백엔드 LLM 문제'로 처리하는 정책이 chatStore에 있음"
"── 루트 설정 ──","/","빌드·타입·린트 설정","프로젝트 루트. Vite/TS/ESLint 설정과 진입 HTML.","-","-","-"
"루트","package.json","의존성·스크립트","deps: react19, react-router7, @tanstack/react-query, axios, zod, react-hook-form, zustand, streamdown, tailwind v4. scripts: dev=vite, build=tsc -b && vite build, lint=eslint, preview.","scripts, dependencies","pnpm(pnpm-lock.yaml)","빌드는 타입체크(tsc)를 먼저 통과해야 함"
"루트","vite.config.ts","Vite 설정","React 플러그인 + Tailwind v4 Vite 플러그인만 등록. 프록시 없음(API는 절대 URL).","defineConfig plugins:[react(), tailwindcss()]","main.tsx가 진입, env는 import.meta.env.VITE_*","단순. 별도 alias/proxy 추가하려면 여기"
"루트","tsconfig.json","TS 루트","프로젝트 참조만 하는 루트. app/node 설정을 references로 묶음.","references: tsconfig.app.json/node.json","tsc -b","실제 옵션은 app/node 파일에"
"루트","tsconfig.app.json","앱 소스 TS 옵션","src 소스용 엄격 컴파일 옵션(strict 등).","include: src","-","-"
"루트","tsconfig.node.json","Node 파일 TS 옵션","vite.config 등 Node 환경 파일용 옵션.","include: vite.config.ts","-","-"
"루트","eslint.config.js","ESLint flat config","TS + react-hooks + react-refresh 규칙.","typescript-eslint 등","npm run lint","-"
"루트","index.html","SPA 진입 HTML","#root 마운트 지점 + main.tsx 스크립트 로드.","<div id=root>","main.tsx","타이틀은 useDocumentTitle이 런타임에 변경"
