구분,page,depth1,depth2,depth3,기능,구현 여부,구현 우선 순위
로그인,인트로(랜딩),히어로,서비스 이름(MARS),,서비스명·소개 문구 표시,,
로그인,인트로(랜딩),히어로,시작하기 버튼,,로그인 패널 열기,,
로그인,인트로(랜딩),히어로,팀 소개 버튼,,외부 채널 페이지 새 탭 열기(로그인 패널 열린 상태에서 노출),,
로그인,인트로(랜딩),히어로,서비스 이용법 버튼,,가이드 페이지로 이동(로그인 패널 열린 상태에서 노출),,
로그인,인트로(랜딩),히어로,더 알아보기,,기능 소개 섹션으로 스크롤,,
로그인,인트로(랜딩),기능 소개,특징 카드,,학습·출처 기반·최신 규정 반영 등 특징 안내(정적),,
로그인,인트로(랜딩),사용 방법,단계 안내·예시 카드,,질문→검색→근거 답변 흐름 소개(정적),,
로그인,인트로(랜딩),CTA,시작하기 버튼,,로그인 패널 열기,,
로그인,로그인 패널,인증,로그인 폼,이메일·비밀번호,형식 유효성 검사(zod)·오류 메시지 표시,,
로그인,로그인 패널,인증,로그인 폼,시작하기 버튼,로그인 후 토큰 저장·채팅으로 이동,,
로그인,로그인 패널,인증,로그인 폼,회원가입,회원가입 폼으로 전환,,
로그인,로그인 패널,인증,회원가입 폼,이름·이메일·비밀번호·확인,형식 및 비밀번호 일치 검사(zod refine),,
로그인,로그인 패널,인증,회원가입 폼,회원가입 버튼,가입 요청·관리자 승인 대기 상태로 생성,,
로그인,로그인 패널,인증,회원가입 폼,오류 안내,승인 대기·거절 등 사유별 토스트,,
로그인,로그인 패널,안내,버전·소속 표기,,서비스 버전(MARS v1.0.0)·소속 표시,,
채팅,사이드바,사이드바 제어,접기/펴기,,패널 폭 축소(56px)·확장(240px) 토글,,
채팅,사이드바,서비스 정보,헤더 로고·서비스 이름,,클릭 시 새 채팅으로 이동,,
채팅,사이드바,메뉴,새 채팅,,신규 채팅 화면(/chat)으로 이동,,
채팅,사이드바,메뉴,대화 검색,,대화 검색 화면(/search)으로 이동,,
채팅,사이드바,메뉴,문서 검색,,문서 검색 화면(/rag)으로 이동,,
채팅,사이드바,세션 목록,즐겨찾기,,핀 고정 세션 목록 최상단 별도 표시,,
채팅,사이드바,세션 목록,전체 세션,,사용자별·최근 수정순·무한 스크롤,,
채팅,사이드바,세션 선택,히스토리 로드,,클릭 시 해당 세션 대화 불러오기(/chat/:id),,
채팅,사이드바,세션 선택,이름 변경,,세션 제목 편집(Enter 저장·Esc 취소·blur 저장),,
채팅,사이드바,세션 선택,삭제,,클릭 즉시 삭제(확인 절차 없음)·현재 세션이면 새 채팅으로 이동,,
채팅,사이드바,세션 선택,즐겨찾기 토글,,전용 토글·목록 순서(수정시각)는 유지,,
채팅,사이드바,사용자,프로필,,로그인 유저 이름·이메일 표시(팝업 헤더),,
채팅,사이드바,사용자,팀 소개,,가이드 페이지로 이동,,
